Perguntas;Respostas
O que é Python?;O Python é uma linguagem de programação interpretada, interativa e orientada a objetos. O mesmo incorporou módulos, exceções, tipagem dinâmica, tipos de dados dinâmicos de alto nível e classes. O Python fornece ao desenvolvedor um poder notável aliado a uma sintaxe simples de clara. Possui interfaces para muitas chamadas e bibliotecas do sistema, bem como para vários sistemas de janelas, e é extensível através de linguagem como o C ou C ++. Também é utilizado como linguagem de extensão para aplicativos que precisam de uma interface programável. Finalmente, o Python é portátil: o mesmo pode ser executado em várias variantes do Unix, no Mac e no Windows 2000 ou versões posteriores. Para saber mais, inicie pelo nosso tutorial O Tutorial Python. Os links do Beginner’s Guide to Python para outros tutoriais introdutórios e recursos da linguagem Python. 
O que é a Python Software Foundation?;O Python Software Foundation é uma organização independente e sem fins lucrativos que detém os direitos autorais sobre as versões 2.1 do Python e as mais recentes. A missão do PSF é avançar a tecnologia de código aberto relacionada à linguagem de programação Python e divulgar a utilização do Python. A página inicial do PSF pode ser acessada pelo link a seguir https://www.python.org/psf/. Doações para o PSF estão isentas de impostos nos EUA. Se utilizares o Python e achares útil, contribua através da página de doação do PSF the PSF donation page. 
Existem restrições de direitos autorais sobre o uso do Python?;Podemos fazer tudo o que quisermos com os fontes, desde que deixemos os direitos autorais e exibimos esses direitos em qualquer documentação sobre o Python que produzirmos. Se honrarmos as regras dos direitos autorais, não há quaisquer problema em utilizar o Python em versões comerciais, vende-lo cópia-lo na forma de código fonte ou o seu binária (modificado ou não modificado), ou para vender produtos que incorporem o Python de alguma forma. Ainda gostaríamos de saber sobre todo o uso comercial de Python, é claro. Veja the PSF license page para encontrar mais explicações e um link para o texto completo da licença. O logotipo do Python é marca registrada e, em certos casos, é necessária permissão para usá-la. Consulte a Política de Uso da Marca comercial the Trademark Usage Policy para obter mais informações. 
Em primeiro lugar, por que o Python foi desenvolvido?;Aqui está um resumo muito breve de como que tudo começou, escrito por Guido van Rossum: Eu tive vasta experiência na implementação de linguagens interpretada no grupo ABC da CWI e, ao trabalhar com esse grupo, aprendi muito sobre o design de linguagens. Este é a origem de muitos recursos do Python, incluindo o uso da indentação para o agrupamento de instruções e a inclusão de tipos de dados de alto nível (embora existam diversos detalhes diferentes em Python). Eu tinha uma série de queixas sobre a língua ABC, mas também havia gostado de muitos das suas características. Era impossível estender o idioma ABC (ou melhorar a implementação) para remediar minhas queixas - na verdade, a falta de extensibilidade era um dos maiores problemas. Eu tinha alguma experiência com o uso de Modula-2+ e conversei com os designers do Modula-3 e li o relatório do Modula-3. Modula-3 foi a origem da sintaxe e semântica usada nas exceções, e alguns outros recursos do Python. Eu estava trabalhando no grupo de sistema operacional distribuído da Amoeba na CWI. Precisávamos de uma maneira melhor de administrar o sistema do que escrevendo programas em C ou Bourne Shell Scripts, uma vez que o Amoeba tinha a sua própria interface de chamada do sistema, que não era facilmente acessível a partir do Shell Bourne. Minha experiência com o tratamento de erros em Amoeba me conscientizou da importância das exceções como um recurso das linguagem de programação. Percebi que uma linguagem de Script com uma sintaxe semelhante a do ABC, mas com acesso às chamadas do sistema Amoeba, preencheria a necessidade. Percebi também que seria uma boa escrever uma linguagem específica do ameba, então, decidi que precisava de uma linguagem realmente extensível. Durante as férias do Natal de 1989, tive bastante tempo disponível e então decidi tentar a construção de algo. Durante ano seguinte, continuei trabalhando em minhas horas vagas, e o Python foi usado no projeto Amoeba com crescente sucesso, e o feedback dos colegas me fez implementar muita melhoria. Em fevereiro de 1991, depois de mais de um ano de desenvolvimento, decidi publicar no USENET. O resto está no arquivo Misc/HISTORY. 
Para o que que o Python é excelente?;O Python é uma linguagem de programação de propósito geral, de alto nível e que pode ser aplicada em muitos tipos diferentes de problemas. A linguagem vem com uma larga biblioteca padrão que cobre áreas como processamento de cadeias de caracteres (expressões regulares, Unicode, cálculo de diferença entre arquivos), protocolos da Internet (HTTP, FTP, SMTP, XML-RPC, POP, IMAP, programação CGI), engenharia de software (testes unitários, logging, análise de desempenho, parsing de código Python), e interfaces do sistema operacional (chamadas de sistema, sistemas de arquivos, sockets TCP/IP). Veja a tabela de conteúdo A Biblioteca Padrão do Python para ter uma ideia do que está disponível. Uma grande variedade de extensões de terceiros também está disponível. Consulte o Índice de Pacotes Python para encontrar pacotes que possam interessar a você. 
Como funciona o esquema de numeração de versões do Python?;"As versões do Python são numeradas na forma A.B.C ou A.B. A é o número da versão principal - só é incrementado quando ocorre mudanças realmente importantes na linguagem. O B é o número da versão menor, incrementado quando ocorre mudanças menores. O C é o micro-nível - é incrementado para cada versão do bugfix. Veja p PEP 6 para obter mais informações sobre as versões do bugfix. Nem todos as versões são lançamentos de bugfix. Na corrida por uma nova versão principal, uma série de lançamentos de desenvolvimento são feitas, denotadas como alfa, beta ou candidate. As versões Alphas são lançamentos iniciais (early releases) em que as interfaces ainda não estão finalizadas; não é inesperado ver uma mudança de interface entre duas versões alfa. Os Betas são mais estáveis, preservando as interfaces existentes, mas possivelmente adicionando novos módulos, e os candidatos a lançamento são congelados, sem alterações, exceto quando necessário para corrigir erros críticos. As versões de lançamento Alpha, beta e candidate possuem um sufixo adicional. O sufixo para uma versão alfa é “aN” para algum número pequeno N, o sufixo para uma versão beta é “bN” para algum número pequeno N e o sufixo para uma versão candidata a ser lançamenta é “cN” para algum pequeno número N. Em outras palavras, todas as versões rotuladas como 2.0aN precedem as versões rotuladas como 2.0bN, que precedem as versões rotuladas como 2.0cN e * essas* precederam a 2.0. Também podemos encontrar números de versão com um sufixo “+”, por exemplo, “2.2+”. Estas são versões não lançadas, construídas diretamente do repositório de desenvolvimento do CPython. Na prática, após uma última versão menor, a versão é incrementada para a próxima versão secundária, que se torna a versão “a0”, por exemplo, “2.4a0”. Veja também a documentação para sys.version, sys.hexversion, e sys.version_info. "
Como faço para obter uma cópia dos fonte do Python?;A última distribuição fonte do Python sempre está disponível no python.org, em https://www.python.org/downloads/. As últimas fontes de desenvolvimento podem ser obtidas em https://github.com/python/cpython/. A distribuição fonte é um arquivo .tar com .gzip contendo o código-fonte C completo, a documentação formatada com o Sphinx, módulos de biblioteca Python, programas de exemplo e várias peças úteis de software livremente distribuível. A fonte compilará e ficará fora da caixa na maioria das plataformas UNIX. Consulte a seção Introdução do Guia do Desenvolvedor Python <https://devguide.python.org/setup/>`__ para obter mais informações sobre como obter o código-fonte e compilá-lo. 
Como faço para obter a documentação do Python?;A documentação padrão para a versão atualmente estável do Python está disponível em https://docs.python.org/3/. Em PDF, texto simples e versões HTML para download também estão disponíveis em https://docs.python.org/3/download.html. A documentação é escrita em reStructuredText e processada pela the Sphinx documentation tool. Os fonte do reStructuredText para documentação fazem parte da distribuição fonte do Python. 
Eu nunca programei antes. Existe um tutorial básico do Python?;Existem inúmeros tutoriais e livros disponíveis. A documentação padrão inclui O Tutorial Python. Consulte o Guia do Iniciante the Beginner’s Guide para encontrar informações referewntes a quem está começando agora na programação Python, incluindo uma lista com tutoriais. 
Existe um grupo de discussão ou lista de discussão dedicada ao Python?;Existe um grupo de notícias comp.lang.python, e uma lista de discussão, ` python-list <https://mail.python.org/mailman/listinfo/python-list> _. O grupo de discussão e a lista de endereços são entregues - se poderes ler as notícias, não será necessário se inscrever na lista de endereços. :newsgroup:`comp.lang.python possui bastante postagem, recebendo centenas de postagens todos os dias, e os leitores do Usenet geralmente são mais capazes de lidar com esse volume. Os anúncios de novas versões e eventos de software podem ser encontrados em comp.lang.python.announce, uma lista moderada de baixo tráfego que recebe cerca de cinco postagens por dia. Está disponível como the python-announce mailing list. Mais informações sobre outras listas de discussão e Newsgroups podem ser encontradas em https://www.python.org/community/lists/. 
